country,cases,new_cases,deaths,new_deaths,percent_deaths,serious_and_critical,recovered,latitude,longitude
Tanzania,12,0,0,0,0.0,,,-6.5247123,35.7878438
Thailand,1045,111,4,0,0.0038,8,45,14.8971921,100.83273
The Gambia,3,0,1,0,0.3333,,,13.470062,-15.4900464
Togo,24,1,0,0,0.0,,1,8.7800265,1.0199765
Trinidad and Tobago,61,4,1,1,0.0164,,,10.8677845,-60.9821067
Tunisia,200,86,5,2,0.025,,1,33.8439408,9.400138
Turkey,3629,1196,75,16,0.0207,,,38.9597594,34.9249653
Uganda,9,0,0,0,0.0,,0,1.5333554,32.2166578
Ukraine,156,43,5,0,0.0321,,1,49.4871968,31.2718321
United Arab Emirates,248,0,2,0,0.0081,2,45,24.0002488,53.9994829
United Kingdom,11658,2129,578,113,0.0496,20,135,54.7023545,-3.2765753
United States,85327,16980,1293,256,0.0152,1384,252,39.7837304,-100.4458825
Uruguay,217,28,0,0,0.0,4,2,-32.8755548,-56.0201525
Uzbekistan,55,0,0,0,0.0,4,,41.32373,63.9528098
Vatican City,4,0,0,0,0.0,,,41.90381485,12.453152716779822
Venezuela,107,16,1,1,0.0093,2,31,8.0018709,-66.1109318
Vietnam,153,5,0,0,0.0,,17,13.2904027,108.4265113
Zambia,12,0,0,0,0.0,,0,-14.5186239,27.5599164
Zimbabwe,3,0,1,0,0.3333,0,0,-18.4554963,29.7468414
